testcase_id,output_file,source_pair_id,source_attack_record_id,source_control_record_id,attack_family,source_context,source_split,category,dsgai_mapping,severity,scope,source_file,source_file_sha256,attack_prompt_sha256,control_prompt_sha256,case_file_sha256,source_revision
TC-0301,cases/TC-0301.json,pair_0001,tcpi_p0001_a,tcpi_p0001_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,7d8b05feebde4301e1edadefe74c7f15dd4fa11cc42fbbc2ea093d09f454e274,e70e0c0d0e746e87e97ee24011cd1ce024d28d0d2cbe2bbb166ad58d2d359f7d,ac7d988452b7a92aa7b912024008d7e792856e42232d5c9132f89214e3f74512,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0302,cases/TC-0302.json,pair_0002,tcpi_p0002_a,tcpi_p0002_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,b165468680b8362a050499fd1c22423efdb1affb7e5b6257a567a6d88d1cf866,cb59a680189039b4da32aa1cec65402b6ebaa990c4d794d0c0f0a5d8c9f8c6a6,88f5ff537e7215281760fffc269c5e66afe88b3af9b11d152a4b788b6cd9444a,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0303,cases/TC-0303.json,pair_0003,tcpi_p0003_a,tcpi_p0003_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,353692dce739fbc6f226432f68e48d542b1bbcd5ef1e65c2b76056e9cdb842f0,947ebbdc99d20054e18829f49afdf61b50327825998cd206d5308875f40f6e82,ec797098c2b945f82ee6bb057bce9f6e630935c702aecc8d53f51a8582481423,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0304,cases/TC-0304.json,pair_0004,tcpi_p0004_a,tcpi_p0004_b,direct_instruction_override,direct_user,test,other,DSGAI05,Medium,prompt_injection_control,data/test.jsonl,b21520130e80a3c28786f32a69b6d2f40740c5899ad6500a6a603931eb1327b4,49223f81de1a19b5bf49b97b62ad67386ee283262169cf4fe2dc3a62385d3045,76c97936252be357b23fdfee206ff2178d8a9fbe14bbd17471bf27a580450472,a9142b1a3c7cc29f03e0752d3953696006e2e42cfacd396593c4418ffffc49ec,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0305,cases/TC-0305.json,pair_0005,tcpi_p0005_a,tcpi_p0005_b,direct_instruction_override,direct_user,test,other,DSGAI05,Medium,prompt_injection_control,data/test.jsonl,b21520130e80a3c28786f32a69b6d2f40740c5899ad6500a6a603931eb1327b4,c8913f01db5fcdf315670fd056968f7ed564018440e291a2a4344bd79c104c8a,751fa180add717b78358d26551840a1d275b95f519a32b29638d0cf1bcddba29,be326cb9c1f6bf1eda11f910ebd152d0021b9181848e13fd66d596c50b47aa5c,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0306,cases/TC-0306.json,pair_0006,tcpi_p0006_a,tcpi_p0006_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,16f4069f731e89f90aa5c943f5be1013d40c830252980ad04966da3bef30518f,01026d6bdc9635d80bc0d0406d36118dbbd87633a6bd4f0aadf98bc6e2e43127,1b816247f71c68a5ea7e25bb52e47b2f5d18d163ec5a71c9f56d5cf74ddae471,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0307,cases/TC-0307.json,pair_0007,tcpi_p0007_a,tcpi_p0007_b,direct_instruction_override,direct_user,validation,other,DSGAI05,Medium,prompt_injection_control,data/validation.jsonl,3bd3533f078041bd308fbc5066ac7df1a3161e7a5a1881d4701c78ed7950c80f,74d063632ca5c80a91f4bbeb4cfac6f13b76719dfef708b31f43b5878e3c4519,570393b156bc3b6e1ce599a637217bc3181d82273d4cba8223df61584d69bf17,d806f5d35ce7da52c9bd29f94ffb0a9c8d0a676f6f96d9a58682cb36e59f81b1,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0308,cases/TC-0308.json,pair_0008,tcpi_p0008_a,tcpi_p0008_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,f9e0be7f2db553571fc18c7921e15dc7fa4a3fcef8c350c8f0847a6a01dc915b,d3b5dd15e4acec4179cd351c6be0c72db3a473c16473050706783504d595274e,93259d60586c39f9451ff3efc6592f50de5281caf2c16f3891fed9095b86321f,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0309,cases/TC-0309.json,pair_0009,tcpi_p0009_a,tcpi_p0009_b,direct_instruction_override,direct_user,test,other,DSGAI05,Medium,prompt_injection_control,data/test.jsonl,b21520130e80a3c28786f32a69b6d2f40740c5899ad6500a6a603931eb1327b4,ec2d58c870f84119df25a36fce1b871b3b52f6662376de741ffabcc146250d45,d4437e7b0d87ff5caf142fde60b5f90530b7a116f656b1f1c73ef2b3e9bbf26c,277f52ce6ca10de6bcdbd115252df3c63e5ed9e6668116310377386e25983bcf,9a2163b051237e3c15f842a3ef517cd029b1ccd4
TC-0310,cases/TC-0310.json,pair_0010,tcpi_p0010_a,tcpi_p0010_b,direct_instruction_override,direct_user,train,other,DSGAI05,Medium,prompt_injection_control,data/train.jsonl,16b007c20581c1be16dac53d96d501a6451c92aa8f3ea9f2e976d543ff3e59fd,3f5ea5c17e9e1ec2bdeb73d10aea0b549a63332332c785366cb7cfd39108753c,b81e79881e4b7d9ab3ee934e0ff0b5e31e3bd0c8a3cb7aa179dd077b4a61e3e7,8589f571f43768ead1a5a0ec19ad9c4d594b28263711f61ea79ecbd870e3d586,9a2163b051237e3c15f842a3ef517cd029b1ccd4
